category,bucket,verdict,ev_2023,ev_2024,ev_2025,ev_2026,n_2023,n_2024,n_2025,n_2026
POLITICS,0.60-0.70,ALIVE,-0.09499488910494058,-0.29113212185740556,-0.06308925221658387,0.17263416103170828,6795,596091,905159,48585
SPORTS,0.60-0.70,ALIVE,-0.04233013213032588,0.013146795279848855,-0.02497005672812669,0.07615227899198199,1570,517642,1486949,109749
OTHER,0.60-0.70,ALIVE,-0.015938612038514877,0.02076551803390614,-0.0029680140211514328,0.04470025294447555,3009,174433,1056341,35717
SPORTS,0.30-0.40,DEAD,-0.025385975971996266,-0.006018872764983613,0.023739297478959476,-0.005817892004905401,1589,546552,1595633,111071
OTHER,0.30-0.40,DEAD,0.06698295419738787,-0.017092679071492117,0.02048825443216737,-0.06214453941637421,3221,196061,1207391,39515
POLITICS,0.30-0.40,DEAD,0.08792552985809451,0.23080933967415052,0.05958176312491956,-0.11922748341973949,6740,597199,928585,40970
CULTURE,0.30-0.40,INSUFFICIENT,-0.24026794209470473,-0.0970633252292264,0.1090197647764379,0.379212578084401,317,9644,159237,1982
WEATHER,0.60-0.70,INSUFFICIENT,-0.49211091229170073,0.018077823950918614,-0.040771313476701126,0.12069893379815791,43,5077,50163,830
CRYPTO,0.60-0.70,INSUFFICIENT,-0.16832797430185997,0.03212553781611216,0.004664510250925957,0.03756880528332873,2014,320683,3993794,1671
CRYPTO,0.30-0.40,INSUFFICIENT,0.06092913335374228,-0.0705709328346848,-0.0016293493420652394,0.004118230063341527,2886,334003,4158167,1721
FINANCE,0.60-0.70,INSUFFICIENT,-0.3477835092749908,-0.08424337260131265,0.043672663099601716,0.000149878593574293,347,6372,142367,4019
FINANCE,0.30-0.40,INSUFFICIENT,0.1823950753265992,0.055777850512678584,-0.037394394937246306,-0.005056915353167768,281,7140,153712,4022
WEATHER,0.30-0.40,INSUFFICIENT,0.35862104153624863,0.0194268018378512,0.034812897837778606,-0.05718668318507805,40,6197,59500,882
CULTURE,0.60-0.70,INSUFFICIENT,0.1411076289230295,0.1255545903729749,-0.13278695595762413,-0.3722878564687615,248,9319,162273,2578
BUSINESS,0.30-0.40,INSUFFICIENT,0.12925501053051067,-0.22885358468653325,-0.14847787089137437,,412,1952,7893,0
BUSINESS,0.60-0.70,INSUFFICIENT,0.21810331417325424,0.2196775537302852,0.14551161950910244,,399,1614,6503,0
HEALTH,0.30-0.40,INSUFFICIENT,,-0.2711519217090539,-0.09549925692135317,,0,743,949,0
HEALTH,0.60-0.70,INSUFFICIENT,,0.2177636181086836,0.09888506363984906,,0,731,972,0
SPACE,0.30-0.40,INSUFFICIENT,0.475967219259787,-0.20845589013866198,0.0008118917555221539,,498,2072,6170,0
SPACE,0.60-0.70,INSUFFICIENT,-0.2901188294750793,0.1964501189114244,0.014905848481103545,,335,2516,6283,0
