bucket,n_trades,win_rate,avg_entry,ev_per_dollar
0.00-0.10,40764285,0.01639381139642214,0.024153322239936017,-0.0077595108435138775
0.10-0.20,9758574,0.14075519640472062,0.15271103956611437,-0.011955843161393753
0.20-0.30,9403331,0.2621465733791568,0.25508557333926823,0.007061000039888576
0.30-0.40,10195231,0.37683118705206387,0.3548856513619641,0.0219455356900998
0.40-0.50,12760500,0.4675750166529525,0.46003056904573414,0.007544447607218313
0.50-0.60,11260582,0.53803231484838,0.5516638297739472,-0.013631514925567217
0.60-0.70,9663435,0.6289692019452711,0.6527491289953103,-0.023779927050039285
0.70-0.80,9353471,0.742728982641845,0.7520101569669126,-0.009281174325067698
0.80-0.90,9107819,0.874726759501918,0.8561766177719509,0.018550141729967162
0.90-1.00,40712559,0.9874211051189389,0.9760267759747435,0.011394329144195359
